ID	Timestamp	User Name	Type	Subtype	Result
9315	Apr 16th 2025 18:20:45	aturt	Authentication	Login	Success
9316	Apr 16th 2025 20:16:39	eldos	Authentication	Login	Success
9317	Apr 16th 2025 20:28:54	rusla	Authentication	Login	Success
9332	Apr 16th 2025 22:49:03	bakyt	Authentication	Logout	Success
9350	Apr 17th 2025 00:35:39	bakyt	Authentication	Login	Success
9365	Apr 17th 2025 04:17:00	eldos	Authentication	Logout	Success
9367	Apr 17th 2025 06:50:09	eldos	Authentication	Login	Success
9398	Apr 17th 2025 08:46:05	aleksa	Authentication	Login	Success
9399	Apr 17th 2025 08:55:03	beket	Authentication	Login	Success
9401	Apr 17th 2025 09:08:51	diyar	Authentication	Logout	Success
9402	Apr 17th 2025 09:08:53	diyar	Authentication	Login	Success
9403	Apr 17th 2025 09:11:18	diyar	Authentication	Login	Success
9427	Apr 17th 2025 09:52:00	sylta	Authentication	Login	Success
9462	Apr 17th 2025 12:02:50	amira	Authentication	Login	Success
9478	Apr 17th 2025 14:15:15	danab	Authentication	Login	Success
9479	Apr 17th 2025 14:46:47	anzhe	Authentication	Login	Success
9482	Apr 17th 2025 17:13:41	timur	Authentication	Login	Success
9487	Apr 17th 2025 17:25:59	beket	Authentication	Login	Success
9488	Apr 17th 2025 18:38:07	diyar	Authentication	Logout	Success
9489	Apr 17th 2025 18:39:05	diyar	Authentication	Login	Success
9496	Apr 17th 2025 20:07:38	iliya	Authentication	Login	Success
9498	Apr 18th 2025 06:16:33	iliya	Authentication	Login	Success
9505	Apr 18th 2025 08:39:11	aleksa	Authentication	Login	Success
9506	Apr 18th 2025 08:49:05	beket	Authentication	Login	Success
9511	Apr 18th 2025 08:52:35	medet	Authentication	Login	Success
9516	Apr 18th 2025 09:05:01	diyar	Authentication	Login	Success
9577	Apr 18th 2025 11:57:26	timur	Authentication	Login	Success
9584	Apr 18th 2025 12:13:48	bakyt	Authentication	Login	Success
9586	Apr 18th 2025 14:05:29	aturt	Authentication	Login	Success
9592	Apr 18th 2025 14:14:06	danab	Authentication	Login	Success
9605	Apr 18th 2025 16:52:59	medet	Authentication	Login	Success
9608	Apr 18th 2025 17:16:30	beket	Authentication	Login	Success
9612	Apr 18th 2025 17:45:55	madiy	Authentication	Login	Success
9617	Apr 18th 2025 20:18:10	bakyt	Authentication	Logout	Success
9618	Apr 18th 2025 20:19:22	bakyt	Authentication	Login	Success
9643	Apr 19th 2025 08:35:16	eldos	Authentication	Login	Success
9644	Apr 19th 2025 08:53:17	rusla	Authentication	Login	Success
9648	Apr 19th 2025 15:33:23	diyar	Authentication	Login	Success
9665	Apr 19th 2025 17:29:38	rusla	Authentication	Logout	Success
9666	Apr 19th 2025 17:30:16	eldos	Authentication	Login	Success
9667	Apr 19th 2025 17:31:06	rusla	Authentication	Login	Success
9695	Apr 19th 2025 20:38:06	aleksey	Authentication	Login	Success
7446	Apr 1st 2025 04:20:25	eldos	Authentication	Logout	Success
7447	Apr 1st 2025 04:20:27	eldos	Authentication	Login	Success
7449	Apr 1st 2025 06:21:53	eldos	Authentication	Login	Success
7452	Apr 1st 2025 06:26:02	rusla	Authentication	Login	Success
7523	Apr 1st 2025 08:20:30	timur	Authentication	Login	Success
7524	Apr 1st 2025 08:26:57	medet	Authentication	Login	Success
7525	Apr 1st 2025 08:27:30	amira	Authentication	Login	Success
7526	Apr 1st 2025 08:38:53	beket	Authentication	Login	Success
7540	Apr 1st 2025 09:14:38	aleksa	Authentication	Login	Success
7545	Apr 1st 2025 09:32:08	danab	Authentication	Login	Success
7552	Apr 1st 2025 09:47:38	diyar	Authentication	Login	Success
7568	Apr 1st 2025 10:16:50	bakyt	Authentication	Login	Success
7587	Apr 1st 2025 11:22:01	aturt	Authentication	Login	Success
7628	Apr 1st 2025 16:40:39	beket	Authentication	Login	Success
7647	Apr 1st 2025 17:32:46	danab	Authentication	Logout	Success
7648	Apr 1st 2025 17:32:49	danab	Authentication	Login	Success
7649	Apr 1st 2025 17:36:16	danab	Authentication	Login	Success
7652	Apr 1st 2025 20:10:09	almas	Authentication	Login	Success
7653	Apr 1st 2025 21:22:09	iliya	Authentication	Login	Success
9697	Apr 20th 2025 05:32:44	aleksey	Authentication	Login	Success
9698	Apr 20th 2025 07:48:18	iliya	Authentication	Login	Success
9703	Apr 20th 2025 17:04:36	iliya	Authentication	Login	Success
9704	Apr 20th 2025 17:09:34	almas	Authentication	Login	Success
9754	Apr 20th 2025 20:17:15	eldos	Authentication	Login	Success
9756	Apr 20th 2025 22:24:38	eldos	Authentication	Login	Success
9758	Apr 21st 2025 06:24:36	eldos	Authentication	Logout	Success
9759	Apr 21st 2025 08:51:12	beket	Authentication	Login	Success
9760	Apr 21st 2025 09:01:53	diyar	Authentication	Login	Success
9761	Apr 21st 2025 09:02:20	medet	Authentication	Login	Success
9790	Apr 21st 2025 10:33:46	aturt	Authentication	Login	Success
9794	Apr 21st 2025 11:06:44	bakyt	Authentication	Login	Success
9808	Apr 21st 2025 12:32:13	igork	Authentication	Login	Success
9809	Apr 21st 2025 13:38:49	aleksa	Authentication	Login	Success
